"","element_id","sentence_id","word_count","sentiment","polarity_level"
"122",122,1,107,0.386694595618265,"Positive"
"123",123,1,64,0.99875,"Positive"
"124",124,1,93,1.15101638115077,"Positive"
"125",125,1,82,0.513506596248036,"Positive"
"126",126,1,89,0.557643684713746,"Positive"
"127",127,1,65,0.713199723887949,"Positive"
"128",128,1,75,0.950318543086124,"Positive"
"129",129,1,34,0.710004142489987,"Positive"
"130",130,1,49,0.942857142857143,"Positive"
"131",131,1,193,0.596007441619919,"Positive"
"132",132,1,178,1.05908827655115,"Positive"
"133",133,1,46,1.31518224890168,"Positive"
"134",134,1,180,0.588458556078695,"Positive"
"135",135,1,109,1.1187411011383,"Positive"
"136",136,1,52,0.416025147168922,"Positive"
"137",137,1,264,0.905337916152992,"Positive"
"138",138,1,88,0.409345375402772,"Positive"
"139",139,1,38,1.20838736600305,"Positive"
"140",140,1,31,1.113552872566,"Positive"
"141",141,1,60,0.497032862763285,"Positive"
"142",142,1,12,0.89489291724392,"Positive"
"143",143,1,245,0.84906695488492,"Positive"
"144",144,1,170,0.984591304432812,"Positive"
"145",145,1,64,0.98125,"Positive"
"146",146,1,70,0.537852874200477,"Positive"
"147",147,1,47,-0.145864991497895,"Negative"
"148",148,1,155,1.11145474636883,"Positive"
"149",149,1,26,0.137281294596729,"Positive"
"150",150,1,124,0,"Neutral"
"151",151,1,67,0.830752221622875,"Positive"
"152",152,1,40,0.726533292423685,"Positive"
"153",153,1,16,0.725,"Positive"
"154",154,1,17,0.424437343813583,"Positive"
"155",155,1,32,0.935148718119209,"Positive"
"156",156,1,218,0.814097124697273,"Positive"
"157",157,1,80,0.383485658141214,"Positive"
"158",158,1,19,0.229415733870562,"Positive"
"159",159,1,35,0.98544986101345,"Positive"
"160",160,1,19,0.734130348385798,"Positive"
"161",161,1,35,0,"Neutral"
"162",162,1,94,0.479610879510339,"Positive"
"163",163,1,136,0.629185434241579,"Positive"
"164",164,1,80,0.693209023874654,"Positive"
"165",165,1,53,0.43268577643837,"Positive"
"166",166,1,54,0.455877257684647,"Positive"
"167",167,1,402,0.564849636664308,"Positive"
"168",168,1,140,1.31506002035757,"Positive"
"169",169,1,111,0.503053737748824,"Positive"
"170",170,1,55,-0.041800391472721,"Negative"
"171",171,1,64,0.774925,"Positive"
"172",172,1,9,0,"Neutral"
"173",173,1,9,0.3,"Positive"
"174",174,1,12,0.707485019864967,"Positive"
"175",175,1,63,0.510252038562457,"Positive"
"176",176,1,42,0.231455024943138,"Positive"
"177",177,1,122,1.02119794748659,"Positive"
"178",178,1,33,0.703273730061019,"Positive"
"179",179,1,11,0.648249390842192,"Positive"
"180",180,1,26,0.402038077033277,"Positive"
"181",181,1,54,0.932166929892487,"Positive"
"182",182,1,25,0.848,"Positive"
"183",183,1,28,1.04696159023556,"Positive"
"184",184,1,80,0.430443085668709,"Positive"
"185",185,1,83,1.12398602229443,"Positive"
"186",186,1,33,0.739917076639694,"Positive"
"187",187,1,28,0.954360294348299,"Positive"
"188",188,1,32,0.123743686707646,"Positive"
"189",189,1,76,0.430154501007303,"Positive"
"190",190,1,37,0.123299240479018,"Positive"
"191",191,1,39,0.742994633655604,"Positive"
"192",192,1,45,0.889209699052416,"Positive"
"193",193,1,17,0.982269281397149,"Positive"
"194",194,1,19,0.321182027418786,"Positive"
"195",195,1,18,1.34350288425444,"Positive"
"196",196,1,31,0.242467157736146,"Positive"
"197",197,1,24,1.02062072615966,"Positive"
"198",198,1,13,0.416025147168922,"Positive"
"199",199,1,18,1.37885822331377,"Positive"
"200",200,1,2,0.353553390593274,"Positive"
"201",201,1,22,0.991383331053589,"Positive"
"202",202,1,42,0.577133104695714,"Positive"
"203",203,1,31,0.795651487978613,"Positive"
"204",204,1,26,0.500096144602369,"Positive"
"205",205,1,112,0.454738506589226,"Positive"
"206",206,1,34,0.732256083912227,"Positive"
"207",207,1,175,0.604346294118104,"Positive"
"208",208,1,26,0.470678724331642,"Positive"
"209",209,1,15,0.955335892064496,"Positive"
"210",210,1,13,0.277350098112615,"Positive"
"211",211,1,25,0.03,"Positive"
"212",212,1,37,0.657595949221429,"Positive"
"213",213,1,73,0.55594544918162,"Positive"
"214",214,1,2,0,"Neutral"
"215",215,1,63,1.11121555064713,"Positive"
"216",216,1,26,1.34339552569656,"Positive"
"217",217,1,28,0.406311808484919,"Positive"
"218",218,1,9,0.166666666666667,"Positive"
"219",219,1,17,0.303169531295416,"Positive"
"220",220,1,102,0.599039263500888,"Positive"
"221",221,1,21,0.534633831078181,"Positive"
"222",222,1,47,1.00646844133547,"Positive"
"223",223,1,38,1.47621493228994,"Positive"
"224",224,1,45,0,"Neutral"
"225",225,1,20,0.503115294937453,"Positive"
"226",226,1,45,0.782623792124926,"Positive"
"227",227,1,52,0.984592848299782,"Positive"
"228",228,1,72,1.0724452847996,"Positive"
"229",229,1,148,1.04105658711118,"Positive"
"230",230,1,51,0.210042012604201,"Positive"
"231",231,1,84,0.87178047149279,"Positive"
"232",232,1,98,0.882696547243336,"Positive"
"233",233,1,29,0.427099277807219,"Positive"
"234",234,1,172,0.398783761419761,"Positive"
"235",235,1,28,0.926012958872607,"Positive"
"236",236,1,21,0.120019839629796,"Positive"
"237",237,1,29,0.427099277807219,"Positive"
"238",238,1,14,0,"Neutral"
"239",239,1,37,0.871314632718394,"Positive"
"240",240,1,121,0.554545454545455,"Positive"
"241",241,1,24,0.673609679265374,"Positive"
"242",242,1,62,0.857250857251286,"Positive"
"243",243,1,7,0.774827169668916,"Positive"
"244",244,1,30,0.821583836257749,"Positive"
"245",245,1,116,0.369533722972333,"Positive"
"246",246,1,33,0.926093129684313,"Positive"
"247",247,1,64,0.7938125,"Positive"
"248",248,1,24,0.26791294061691,"Positive"
"249",249,1,43,0.51697015342753,"Positive"
"250",250,1,54,0.428660704987056,"Positive"
"251",251,1,85,0.921954445729289,"Positive"
"252",252,1,258,1.32779215277429,"Positive"
"253",253,1,41,0.891752180383941,"Positive"
"254",254,1,279,1.02922818326443,"Positive"
"255",255,1,33,0.696310623822791,"Positive"
"256",256,1,96,0.77618206224442,"Positive"
"257",257,1,62,0,"Neutral"
"258",258,1,26,0.556969823792443,"Positive"
"259",259,1,22,0.676858974249974,"Positive"
"260",260,1,40,0.499639870306604,"Positive"
"261",261,1,49,0.999892857142857,"Positive"
"262",262,1,31,0.404111929560244,"Positive"
"263",263,1,24,0.132680694400755,"Positive"
"264",264,1,18,1.1667261889578,"Positive"
"265",265,1,37,0.38633762016759,"Positive"
"266",266,1,46,-0.0147441956154897,"Negative"
"267",267,1,81,1.045,"Positive"
"268",268,1,22,0.714222399791295,"Positive"
"269",269,1,55,0.182033962865075,"Positive"
"270",270,1,7,0.377964473009227,"Positive"
"271",271,1,133,1.31959396492089,"Positive"
"272",272,1,84,0.305505046330389,"Positive"
"273",273,1,19,0.688247201611685,"Positive"
"274",274,1,17,0.654846187598099,"Positive"
"275",275,1,14,0,"Neutral"
"276",276,1,15,0.52930772398168,"Positive"
"277",277,1,30,0.639009650422694,"Positive"
"278",278,1,191,1.33427157215923,"Positive"
"279",279,1,13,0,"Neutral"
"280",280,1,13,0,"Neutral"
"281",281,1,22,1.34956053453101,"Positive"
"282",282,1,44,0.527644853011086,"Positive"
"283",283,1,168,0.20136587170053,"Positive"
"284",284,1,126,0.792037599115534,"Positive"
"285",285,1,38,1.46323721859948,"Positive"
"286",286,1,72,0.583363094478902,"Positive"
"287",287,1,59,0.592359544962749,"Positive"
"288",288,1,28,0.670886939591378,"Positive"
"289",289,1,155,0.874505044342596,"Positive"
"290",290,1,60,0.52930772398168,"Positive"
"291",291,1,29,1.03994031762603,"Positive"
"292",292,1,303,0.522206855565876,"Positive"
"293",293,1,76,0.962399003587007,"Positive"
"294",294,1,103,0.156421022908582,"Positive"
"295",295,1,12,0,"Neutral"
"296",296,1,63,1.28003968192458,"Positive"
"297",297,1,51,-0.0700140042014005,"Negative"
"298",298,1,64,0.135,"Positive"
"299",299,1,42,0.609498232350263,"Positive"
"300",300,1,16,0.375,"Positive"
"301",301,1,53,0.726637383288565,"Positive"
"302",302,1,6,0.510310363079829,"Positive"
"303",303,1,15,-0.435504067336537,"Negative"
"304",304,1,85,0.856875308383692,"Positive"
"305",305,1,52,0.346687622640768,"Positive"
"306",306,1,23,0.94874058395969,"Positive"
"307",307,1,99,0.75277332362915,"Positive"
"308",308,1,189,0.418472811140725,"Positive"
"309",309,1,487,0.273181942365334,"Positive"
"310",310,1,22,0.0639602149066831,"Positive"
"311",311,1,128,0.110485434560398,"Positive"
"312",312,1,2,0.353553390593274,"Positive"
"313",313,1,225,0.754,"Positive"
"314",314,1,73,0.0585205735980653,"Positive"
"315",315,1,6,0.367423461417477,"Positive"
"316",316,1,36,0.458333333333333,"Positive"
"317",317,1,1,0,"Neutral"
"318",318,1,128,0.0521491251125079,"Positive"
"319",319,1,21,0.715754679974055,"Positive"
"320",320,1,15,0,"Neutral"
"321",321,1,140,0.78776828083245,"Positive"
"322",322,1,22,0.564981898342368,"Positive"
"323",323,1,52,0.818182789432213,"Positive"
