"","lat","long","census_code","GEOID20","id","price"
"909",42.35083,-71.13373,"250250007041002","25025000704",31593437,79
"910",42.2961,-71.11484,"250251101051016","25025110105",31675705,99
"911",42.35939,-71.0699,"250250201014001","25025020101",31764931,628
"912",42.35931,-71.06988,"250250201014001","25025020101",31930647,299
"913",42.35781,-71.07068,"250250201012003","25025020101",31932336,349
"914",42.36033,-71.06747,"250250202002003","25025020200",31933571,499
"915",42.35842,-71.06944,"250250201014004","25025020101",31952528,269
"916",42.3582,-71.06778,"250250201013001","25025020101",31964808,149
"917",42.35903,-71.06966,"250250201014001","25025020101",31983770,399
"918",42.36031,-71.06851,"250250202002001","25025020200",31984461,349
"919",42.37106,-71.03382,"250250505001001","25025050500",32012250,86
"920",42.31594,-71.0688,"250250914001000","25025091400",32016148,90
"921",42.35027,-71.13362,"250250007041003","25025000704",32024417,89
"922",42.30744,-71.06461,"250250916001001","25025091600",32102560,55
"923",42.32763,-71.08077,"250250803002003","25025080300",32163985,206
"924",42.30172,-71.08372,"250250901003005","25025090100",32197096,80
"925",42.35426,-71.06242,"250250701022002","25025070102",32330038,231
"926",42.35603,-71.06122,"250250701021004","25025070102",32330134,125
"927",42.35465,-71.06174,"250250701021009","25025070102",32330288,131
"928",42.35484,-71.06238,"250250701021009","25025070102",32330401,183
"929",42.35447,-71.06186,"250250701021009","25025070102",32330465,122
"930",42.35391,-71.063,"250250701022002","25025070102",32330630,119
"931",42.3544,-71.06116,"250250701043007","25025070104",32331101,123
"932",42.35605,-71.06278,"250259817001000","25025981700",32331200,119
"933",42.31568,-71.05981,"250250912002004","25025091200",32365346,80
"934",42.35836,-71.06883,"250250201014005","25025020101",32492523,299
"935",42.34759,-71.06985,"250250703011002","25025070301",32570057,108
"936",42.34878,-71.06916,"250250703021005","25025070302",32570059,112
"937",42.35071,-71.09302,"250250101042003","25025010104",32592761,295
"938",42.34762,-71.06876,"250250703012000","25025070301",32687520,100
"939",42.30439,-71.06524,"250250917002000","25025091700",32723746,65
"940",42.34053,-71.08027,"250250708021007","25025070802",32762186,206
"941",42.36127,-71.06758,"250250203011011","25025020301",32764882,285
"942",42.37002,-71.06102,"250250404012016","25025040401",32826985,285
"943",42.34788,-71.07103,"250250703011000","25025070301",32831946,100
"944",42.35456,-71.06132,"250250701043007","25025070104",32835031,89
"945",42.35608,-71.06325,"250259817001000","25025981700",32835033,131
"946",42.34937,-71.07022,"250250703023004","25025070302",32861080,108
"947",42.34792,-71.06829,"250250703021011","25025070302",32861086,100
"948",42.34886,-71.0703,"250250703023004","25025070302",32861088,119
"949",42.27815,-71.14066,"250251105012011","25025110501",32890952,129
"950",42.28929,-71.0675,"250251005003007","25025100500",32894516,89
"951",42.2885,-71.06752,"250251005002001","25025100500",32895915,89
"952",42.33619,-71.08445,"250250805001000","25025080500",32915410,84
"953",42.32095,-71.07978,"250250818002001","25025081800",32940171,85
"954",42.32232,-71.06847,"250250906002011","25025090600",33013194,47
"955",42.32342,-71.06924,"250250906002004","25025090600",33016886,62
"956",42.32313,-71.06867,"250250906002010","25025090600",33017230,55
"957",42.32299,-71.06999,"250250906002009","25025090600",33158116,56
"958",42.31465,-71.07497,"250250904001006","25025090400",33162602,75
"959",42.35399,-71.06314,"250250701022001","25025070102",33196720,125
"960",42.35606,-71.06119,"250250701021004","25025070102",33196946,123
"961",42.35778,-71.15793,"250250002011005","25025000201",33253369,50
"962",42.36417,-71.13637,"250250001022002","25025000102",33351298,282
"963",42.36417,-71.13637,"250250001022002","25025000102",33351516,292
"964",42.36417,-71.13637,"250250001022002","25025000102",33352066,332
"965",42.35104,-71.0697,"250250703022002","25025070302",33352469,414
"966",42.3507,-71.07212,"250250703023000","25025070302",33352471,332
"967",42.35104,-71.0697,"250250703022002","25025070302",33352473,313
"968",42.35104,-71.0697,"250250703022002","25025070302",33352475,371
"969",42.28962,-71.11466,"250251103012006","25025110301",33403880,123
"970",42.31731,-71.05818,"250250911005002","25025091100",33417746,45
"971",42.33174,-71.08197,"250250804012007","25025080401",33426419,61
"972",42.31607,-71.07281,"250250914002006","25025091400",33549373,185
"973",42.29828,-71.07806,"250250919003013","25025091900",33561740,50
"974",42.31961,-71.10966,"250251206002000","25025120600",33586214,85
"975",42.29031,-71.06819,"250251005003003","25025100500",33682929,45
"976",42.36012,-71.12826,"250250008042000","25025000804",33878316,79
"977",42.32665,-71.11187,"250250811012000","25025081101",34040798,384
"978",42.32801,-71.1126,"250259818001020","25025981800",34061048,480
"979",42.36104,-71.13211,"250250001011007","25025000101",34096297,99
"980",42.34756,-71.07048,"250250703011002","25025070301",34149470,70
"981",42.34778,-71.06865,"250250703011002","25025070301",34149872,107
"982",42.3614,-71.13106,"250250001011004","25025000101",34212295,99
